pc_time,seq,tick_ms,bitmap,sensor_1_x_gs,sensor_1_y_gs,sensor_1_z_gs,sensor_2_x_gs,sensor_2_y_gs,sensor_2_z_gs,sensor_3_x_gs,sensor_3_y_gs,sensor_3_z_gs,sensor_4_x_gs,sensor_4_y_gs,sensor_4_z_gs,sensor_5_x_gs,sensor_5_y_gs,sensor_5_z_gs,sensor_6_x_gs,sensor_6_y_gs,sensor_6_z_gs,sensor_7_x_gs,sensor_7_y_gs,sensor_7_z_gs,sensor_8_x_gs,sensor_8_y_gs,sensor_8_z_gs,sensor_9_x_gs,sensor_9_y_gs,sensor_9_z_gs,sensor_10_x_gs,sensor_10_y_gs,sensor_10_z_gs,sensor_11_x_gs,sensor_11_y_gs,sensor_11_z_gs,sensor_12_x_gs,sensor_12_y_gs,sensor_12_z_gs,imu_seq,imu_tick_ms,ax,ay,az,gx,gy,gz,temp
1780493821.415966,103115,493316,0x0FFF,0.428943,0.373950,-1.044861,0.208972,0.439941,-0.868884,0.153979,0.351953,-0.857886,0.307959,-0.560925,1.242834,0.175977,-0.384949,1.264832,-0.098987,-0.274963,1.264832,0.076990,0.274963,-1.044861,0.164978,0.406946,-0.791895,0.263965,0.428943,-0.956873,0.230969,-0.417944,1.055859,0.065991,-0.384949,0.978870,0.109985,-0.241968,1.176843,103113,493312,-91,104,8235,-16,-2,-18,643
1780493821.417943,103116,493318,0x0FFF,0.516931,0.373950,-0.989868,0.329956,0.494934,-0.945874,0.274963,0.318958,-0.967871,0.406946,-0.681909,1.308826,0.010999,-0.362952,1.198840,0.032996,-0.241968,1.286829,0.219971,0.263965,-1.011865,0.252966,0.318958,-0.901880,0.000000,0.417944,-1.033862,0.186975,-0.461938,0.978870,0.153979,-0.274963,1.132849,0.197974,-0.252966,1.253833,103113,493312,-91,104,8235,-16,-2,-18,643
1780493821.420064,103118,493320,0x0FFF,0.483936,0.450940,-0.978870,0.296960,0.483936,-0.846887,0.351953,0.241968,-0.989868,0.197974,-0.670911,1.198840,0.076990,-0.450940,1.363818,0.032996,-0.318958,1.440808,0.252966,0.285962,-0.956873,0.153979,0.494934,-0.791895,0.219971,0.428943,-0.956873,0.274963,-0.461938,1.022864,0.087988,-0.307959,1.198840,0.054993,-0.098987,1.187842,103117,493318,-105,110,8238,-17,-3,-22,627
1780493821.423242,103119,493322,0x0FFF,0.450940,0.351953,-1.022864,0.395947,0.417944,-0.824890,0.263965,0.373950,-0.857886,0.285962,-0.626917,1.231836,0.197974,-0.384949,1.308826,0.010999,-0.230969,1.187842,0.230969,0.241968,-0.912878,0.153979,0.417944,-0.736902,0.175977,0.494934,-0.945874,0.219971,-0.505933,0.956873,0.109985,-0.351953,1.143848,0.131982,-0.109985,1.121851,103117,493318,-105,110,8238,-17,-3,-22,627
1780493821.424303,103121,493324,0x0FFF,0.329956,0.263965,-0.945874,0.307959,0.483936,-1.033862,0.274963,0.296960,-0.868884,0.263965,-0.560925,1.242834,0.010999,-0.384949,1.220837,0.000000,-0.230969,1.286829,0.153979,0.318958,-0.934875,0.263965,0.494934,-0.934875,0.109985,0.406946,-0.857886,0.197974,-0.494934,0.978870,0.010999,-0.318958,1.253833,0.142981,-0.186975,1.187842,103120,493322,-114,124,8245,-15,-3,-24,631
1780493821.426228,103122,493326,0x0FFF,0.516931,0.406946,-0.989868,0.252966,0.417944,-0.978870,0.252966,0.307959,-0.802893,0.252966,-0.626917,1.110852,0.120984,-0.362952,1.176843,0.010999,-0.274963,1.330823,0.186975,0.384949,-1.044861,0.186975,0.439941,-0.824890,0.120984,0.340955,-0.879883,0.186975,-0.439941,0.956873,0.197974,-0.318958,1.154846,0.153979,-0.131982,1.176843,103120,493322,-114,124,8245,-15,-3,-24,631
1780493821.428289,103124,493328,0x0FFF,0.472937,0.362952,-1.077856,0.351953,0.450940,-0.989868,0.241968,0.329956,-0.835889,0.241968,-0.659912,1.231836,0.164978,-0.351953,1.209839,0.021997,-0.296960,1.308826,0.241968,0.351953,-0.934875,0.131982,0.461938,-0.791895,0.120984,0.340955,-0.835889,0.131982,-0.461938,0.901880,0.164978,-0.285962,1.253833,0.109985,-0.230969,1.231836,103123,493327,-107,111,8243,-16,-2,-22,635
1780493821.431322,103125,493330,0x0FFF,0.494934,0.351953,-1.077856,0.241968,0.505933,-0.956873,0.274963,0.384949,-0.967871,0.252966,-0.615918,1.209839,0.087988,-0.428943,1.396814,0.032996,-0.241968,1.242834,0.186975,0.318958,-0.923877,0.219971,0.417944,-0.824890,0.164978,0.417944,-0.802893,0.230969,-0.384949,0.956873,0.175977,-0.274963,1.165845,0.208972,-0.164978,1.154846,103123,493327,-107,111,8243,-16,-2,-22,635
1780493821.433373,103126,493333,0x0FFF,0.472937,0.318958,-1.055859,0.197974,0.439941,-0.901880,0.175977,0.296960,-0.934875,0.285962,-0.582922,1.176843,0.043994,-0.285962,1.319824,0.043994,-0.175977,1.319824,0.153979,0.340955,-1.022864,0.175977,0.329956,-0.725903,0.230969,0.329956,-0.912878,0.318958,-0.439941,0.989868,0.098987,-0.362952,1.066858,0.142981,-0.208972,1.220837,103123,493327,-107,111,8243,-16,-2,-22,635
1780493821.435462,103128,493335,0x0FFF,0.439941,0.252966,-1.011865,0.274963,0.472937,-0.945874,0.175977,0.395947,-0.901880,0.230969,-0.593921,1.231836,0.142981,-0.384949,1.264832,0.054993,-0.241968,1.319824,0.186975,0.285962,-0.923877,0.197974,0.340955,-0.813892,0.175977,0.384949,-1.000867,0.109985,-0.450940,0.912878,0.043994,-0.329956,1.154846,0.186975,-0.197974,1.154846,103127,493333,-100,109,8246,-16,-4,-20,633
