sensor_1_x,sensor_1_y,sensor_1_z,sensor_1_magnitude,sensor_2_x,sensor_2_y,sensor_2_z,sensor_2_magnitude,sensor_3_x,sensor_3_y,sensor_3_z,sensor_3_magnitude,sensor_4_x,sensor_4_y,sensor_4_z,sensor_4_magnitude,sensor_5_x,sensor_5_y,sensor_5_z,sensor_5_magnitude,sensor_6_x,sensor_6_y,sensor_6_z,sensor_6_magnitude,sensor_7_x,sensor_7_y,sensor_7_z,sensor_7_magnitude,sensor_8_x,sensor_8_y,sensor_8_z,sensor_8_magnitude,sensor_9_x,sensor_9_y,sensor_9_z,sensor_9_magnitude,sensor_10_x,sensor_10_y,sensor_10_z,sensor_10_magnitude,sensor_11_x,sensor_11_y,sensor_11_z,sensor_11_magnitude,sensor_12_x,sensor_12_y,sensor_12_z,sensor_12_magnitude
2.140744,-0.252461,1.628399,2.701518,2.081117,-0.263207,1.563127,2.616045,2.065478,-0.256491,1.576786,2.611176,1.935506,0.255040,-1.589927,2.517756,2.055552,0.321243,-1.713420,2.695236,1.965072,0.303622,-1.672351,2.598163,-1.969842,0.293617,1.595292,2.551753,-1.979615,0.252605,1.686342,2.612745,-1.979205,0.161711,1.664785,2.591315,-1.939444,-0.239235,-1.563710,2.502771,-1.960798,-0.303498,-1.568838,2.529445,-1.972890,-0.258778,-1.621362,2.566725
2.091771,-0.254128,1.687851,2.699801,2.034343,-0.264284,1.622238,2.615349,2.017631,-0.257523,1.634274,2.609215,1.887438,0.256069,-1.643515,2.515778,2.005510,0.322521,-1.771216,2.695050,1.915134,0.305140,-1.726453,2.596438,-1.921259,0.295559,1.650095,2.549786,-1.929536,0.254380,1.740895,2.611232,-1.928230,0.164032,1.720349,2.589321,-1.892100,-0.241827,-1.616865,2.500555,-1.912741,-0.304953,-1.622827,2.526884,-1.921970,-0.259980,-1.677428,2.564240
2.038551,-0.256461,1.747060,2.696976,1.984216,-0.267479,1.680394,2.613883,1.966064,-0.259216,1.688925,2.604816,1.837197,0.257323,-1.696013,2.513557,1.950858,0.324337,-1.828268,2.693252,1.861270,0.305045,-1.779610,2.593143,-1.868975,0.297355,1.703326,2.546135,-1.874782,0.256063,1.792976,2.606749,-1.876435,0.165902,1.774098,2.587655,-1.841372,-0.245311,-1.669010,2.497284,-1.861482,-0.306517,-1.677556,2.524532,-1.869916,-0.261450,-1.729594,2.560554
1.979092,-0.260461,1.810878,2.695167,1.927076,-0.269780,1.744091,2.613093,1.908089,-0.260136,1.747797,2.600629,1.778970,0.258058,-1.755477,2.512574,1.888712,0.325451,-1.888057,2.690336,1.800125,0.307938,-1.837452,2.590657,-1.810829,0.299522,1.762058,2.544339,-1.813483,0.257659,1.851045,2.604127,-1.815450,0.169177,1.832832,2.585296,-1.784969,-0.247545,-1.725361,2.494848,-1.804018,-0.308201,-1.735718,2.522337,-1.809461,-0.263726,-1.788567,2.557865
1.919947,-0.261464,1.867609,2.691194,1.872773,-0.272121,1.798876,2.610993,1.852182,-0.260750,1.800843,2.596460,1.554503,0.237631,-1.624482,2.260949,1.651813,0.294853,-1.747386,2.422557,1.569901,0.275195,-1.697686,2.328617,-1.578966,0.272392,1.632161,2.287199,-1.579091,0.231911,1.712605,2.341010,-1.584499,0.149428,1.696180,2.325939,-1.554826,-0.218995,-1.597259,2.239794,-1.572385,-0.273511,-1.605933,2.264116,-1.576352,-0.235897,-1.651897,2.295495
1.861904,-0.263641,1.922190,2.689053,1.816767,-0.274058,1.852740,2.609291,1.795810,-0.261979,1.853591,2.594102,1.666509,0.259079,-1.856215,2.507969,1.770027,0.328232,-1.993412,2.685968,1.683257,0.311137,-1.936896,2.584903,-1.696645,0.302671,1.864207,2.538796,-1.694936,0.259966,1.952476,2.598568,-1.698922,0.174014,1.935235,2.581037,-1.674652,-0.253610,-1.824486,2.489483,-1.690719,-0.310957,-1.837261,2.516099,-1.694169,-0.265964,-1.889408,2.551629
1.796100,-0.267091,1.977363,2.684637,1.754780,-0.275816,1.907516,2.606519,1.733030,-0.263406,1.905290,2.588997,1.604188,0.260009,-1.906072,2.504823,1.703636,0.328790,-2.047380,2.683700,1.618032,0.310619,-1.986182,2.580587,-1.633565,0.305411,1.915886,2.536223,-1.628857,0.260647,2.002119,2.594146,-1.633626,0.175808,1.985584,2.577243,-1.613519,-0.256636,-1.873212,2.485604,-1.628374,-0.312352,-1.887019,2.511972,-1.630261,-0.267918,-1.939025,2.547420
1.734858,-0.268168,2.029671,2.683507,1.696093,-0.278382,1.957409,2.604933,1.673815,-0.264939,1.952134,2.585088,1.545911,0.260643,-1.951040,2.502865,1.642329,0.330683,-2.096074,2.683305,1.556577,0.312022,-2.030136,2.577158,-1.574339,0.307682,1.960190,2.532895,-1.567610,0.262964,2.047418,2.592002,-1.573257,0.178768,2.032061,2.576115,-1.556618,-0.259368,-1.917263,2.483190,-1.570147,-0.314189,-1.932681,2.509847,-1.569806,-0.268605,-1.985682,2.545462
1.672358,-0.270343,2.076639,2.679980,1.636838,-0.280590,2.004345,2.602954,1.613930,-0.265038,1.996993,2.581278,1.486471,0.261390,-1.993320,2.500249,1.578926,0.331594,-2.140298,2.680268,1.494141,0.312803,-2.072408,2.573942,-1.513932,0.309802,2.004798,2.531241,-1.504233,0.264772,2.089297,2.588046,-1.511195,0.183545,2.073993,2.572712,-1.497477,-0.261252,-1.959262,2.479798,-1.509989,-0.314971,-1.975708,2.506530,-1.508270,-0.270585,-2.026906,2.540953
1.608442,-0.272327,2.123761,2.677986,1.574902,-0.281938,2.049745,2.600242,1.551202,-0.267131,2.040850,2.577335,1.424908,0.262971,-2.036714,2.499544,1.513479,0.332877,-2.182448,2.676659,1.431601,0.314713,-2.112054,2.570855,-1.452187,0.311565,2.045967,2.528221,-1.440336,0.266478,2.130410,2.585387,-1.447438,0.184960,2.115584,2.570016,-1.437191,-0.264627,-1.999566,2.476653,-1.448864,-0.315958,-2.016330,2.502922,-1.445238,-0.272170,-2.068235,2.537791
