timestamp,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
2026-04-28T20:37:21.463299,-0.005566406,-0.4833008,-0.1873047,0.01630859,-0.4643555,-0.1742188,-0.01025391,-0.4455078,-0.1886719,0.005566406,0.3166016,0.11875,-0.01201172,0.4116211,0.1388672,0.04199219,0.4900391,0.1336914,-0.07167969,0.4066406,-0.1509766,-0.08359375,0.4416992,-0.1588867,-0.0375,0.524707,-0.1557617,-0.1459961,-0.5429688,0.1352539,-0.07939453,-0.5125,0.1351563,-0.09414063,-0.4583008,0.09931641
2026-04-28T20:37:21.593385,-0.007128906,-0.4831055,-0.1867187,0.01591797,-0.4650391,-0.1748047,-0.0125,-0.4469727,-0.1891602,0.004394531,0.3154297,0.1165039,-0.01464844,0.4108398,0.1390625,0.04121094,0.4901367,0.1342773,-0.06845703,0.4075195,-0.1501953,-0.08203125,0.4432617,-0.1578125,-0.03779297,0.5255859,-0.1570313,-0.1438477,-0.5441406,0.1351563,-0.07822266,-0.5102539,0.1376953,-0.09228516,-0.4600586,0.09951172
2026-04-28T20:37:21.722217,-0.006542969,-0.4819336,-0.1858398,0.01523437,-0.4647461,-0.1763672,-0.01113281,-0.4467773,-0.1904297,0.004492187,0.3160156,0.1181641,-0.01201172,0.4115234,0.1385742,0.03964844,0.4891602,0.1355469,-0.06845703,0.4071289,-0.1513672,-0.08320313,0.443457,-0.159668,-0.03662109,0.5243164,-0.1575195,-0.143457,-0.5424805,0.1353516,-0.07753906,-0.5108398,0.1378906,-0.09296875,-0.4605469,0.1007813
2026-04-28T20:37:21.851077,-0.008789062,-0.4828125,-0.1869141,0.01367188,-0.4647461,-0.1744141,-0.01269531,-0.4479492,-0.1879883,0.002539063,0.3158203,0.1181641,-0.01630859,0.4116211,0.1382812,0.03867188,0.4882812,0.1350586,-0.06708984,0.406543,-0.1499023,-0.08085937,0.4438477,-0.1618164,-0.03574219,0.5254883,-0.1583008,-0.1427734,-0.54375,0.1352539,-0.07636719,-0.5135742,0.1361328,-0.09091797,-0.4594727,0.1009766
2026-04-28T20:37:21.980244,-0.007519531,-0.4824219,-0.1882813,0.01445313,-0.4641602,-0.1756836,-0.01201172,-0.4459961,-0.1876953,0.00390625,0.3160156,0.1166992,-0.01425781,0.4119141,0.1401367,0.03857422,0.4887695,0.1334961,-0.06826172,0.40625,-0.1500977,-0.08251953,0.4430664,-0.1599609,-0.03642578,0.5254883,-0.1580078,-0.1430664,-0.54375,0.1342773,-0.07910156,-0.5168945,0.1380859,-0.09013672,-0.4579102,0.1016602
2026-04-28T20:37:22.109294,-0.005664062,-0.4823242,-0.1845703,0.01542969,-0.4633789,-0.1733398,-0.01123047,-0.4452148,-0.1869141,0.0046875,0.3157227,0.115332,-0.01474609,0.4132812,0.1389648,0.03857422,0.4883789,0.134082,-0.07138672,0.4030273,-0.1483398,-0.0828125,0.4431641,-0.1594727,-0.03671875,0.5239258,-0.1540039,-0.1436523,-0.5433594,0.134082,-0.07880859,-0.5136719,0.1359375,-0.09248047,-0.4586914,0.1
2026-04-28T20:37:22.237861,-0.004980469,-0.481543,-0.1871094,0.01611328,-0.4628906,-0.1741211,-0.01123047,-0.4473633,-0.1894531,0.004296875,0.3134766,0.1165039,-0.01318359,0.4117188,0.1402344,0.04072266,0.4884766,0.1331055,-0.06933594,0.4012695,-0.1496094,-0.08544922,0.4411133,-0.1607422,-0.03720703,0.5227539,-0.1575195,-0.1447266,-0.5415039,0.1337891,-0.08017578,-0.5149414,0.1366211,-0.09287109,-0.4568359,0.09833984
2026-04-28T20:37:22.367622,-0.008203125,-0.4813477,-0.1868164,0.01347656,-0.4631836,-0.1753906,-0.01210938,-0.4458984,-0.1875,0.0008789063,0.3160156,0.1161133,-0.01552734,0.4111328,0.1389648,0.03789062,0.4866211,0.1324219,-0.06708984,0.403125,-0.1490234,-0.08144531,0.4413086,-0.1617187,-0.03457031,0.521582,-0.15625,-0.1423828,-0.5407227,0.1314453,-0.07597656,-0.512793,0.1369141,-0.08945312,-0.4564453,0.09960938
2026-04-28T20:37:22.495727,-0.008496094,-0.4799805,-0.1852539,0.01337891,-0.4632812,-0.1745117,-0.01416016,-0.4456055,-0.1884766,0.001464844,0.3149414,0.1157227,-0.01533203,0.412793,0.1364258,0.03808594,0.4875977,0.1337891,-0.06669922,0.4041992,-0.1485352,-0.08066406,0.4407227,-0.1601562,-0.03476563,0.5249023,-0.1547852,-0.1425781,-0.5456055,0.1322266,-0.07597656,-0.5131836,0.1349609,-0.0890625,-0.4581055,0.1007813
2026-04-28T20:37:22.625888,-0.00625,-0.4803711,-0.1850586,0.01679687,-0.4632812,-0.1728516,-0.01083984,-0.4449219,-0.1881836,0.003808594,0.3134766,0.1152344,-0.01337891,0.4124023,0.1389648,0.04013672,0.4866211,0.1319336,-0.06904297,0.4040039,-0.1447266,-0.08398438,0.4416016,-0.1570313,-0.03730469,0.5234375,-0.1554687,-0.1461914,-0.5454102,0.1329102,-0.08037109,-0.515332,0.1364258,-0.0921875,-0.4566406,0.09853516
