combo,s1,s2,s3,geometry_rank_centered,gradient_rank_C,success_count,cycle_count,status,cvt_ep_mean,cvt_ep_median,cvt_eR_mean,cvt_eR_median,cci_ep_mean,cci_ep_median,cci_eR_mean,cci_eR_median,delta_cci_minus_cvt_ep_mean,delta_cci_minus_cvt_eR_mean,cci_better_ep_count,cci_better_eR_count
2-9-12,2,9,12,2,5,10,10,ok,0.012394040067301611,0.011404053227870234,0.37797871147954593,0.35392936861597091,0.014013866467618135,0.012999288179460224,0.33968640017079993,0.32908644372508283,0.0016198264003165243,-0.038292311308745997,2,9
2-10-11,2,10,11,2,5,10,10,ok,0.029372084057610555,0.02940526343252263,0.16191740206826061,0.14859824610263694,0.035075110475688287,0.03395653057468092,0.27010896175057597,0.1837900302039461,0.0057030264180777321,0.10819155968231536,3,3
2-10-12,2,10,12,2,5,10,10,ok,0.019620137432804073,0.016690845777779732,0.18919032237960404,0.20349382480029782,0.017647957230048403,0.014660411614806353,0.1443344266325621,0.14704079141620274,-0.0019721802027556704,-0.044855895747041935,9,9
2-11-12,2,11,12,2,5,10,10,ok,0.012368489864151467,0.0096165577569619441,0.31685037417197343,0.33004551033364427,0.01173371285458048,0.01016015771932605,0.3410533366025249,0.34055700544006701,-0.00063477700957098766,0.024202962430551478,3,2
3-4-5,3,4,5,2,5,10,10,ok,0.027726119777567802,0.027904438277661182,0.42721871664889255,0.41819673615782471,0.036523650306997807,0.034482292624907068,0.19397091124840415,0.15591570664328888,0.0087975305294300046,-0.23324780540048839,1,10
3-4-6,3,4,6,2,5,10,10,ok,0.028646748537252492,0.028086109186166365,0.30310621955650791,0.30000971434323087,0.031897869903373476,0.029976145973940362,0.20891145540385056,0.17533541456950158,0.0032511213661209834,-0.094194764152657345,0,10
3-4-7,3,4,7,2,5,10,10,ok,0.020464035494738679,0.017937671137081113,0.28220915458848955,0.27039246286216695,0.020511589124681505,0.018584205857821834,0.27236163619067721,0.2784498818120954,4.7553629942825859e-05,-0.0098475183978123382,5,6
3-4-8,3,4,8,2,5,10,10,ok,0.023519116645646453,0.022435286795938675,0.25399020484005863,0.2400858500906638,0.022391323861669414,0.021602098926826237,0.25711362371512692,0.24386016912071012,-0.0011277927839770385,0.0031234188750682845,6,2
3-4-9,3,4,9,2,5,10,10,ok,0.027519721231815654,0.028758896532891105,0.21112136276187318,0.18408993891958553,0.025396126707553805,0.025154626086309889,0.19869073422214595,0.16767714572276032,-0.0021235945242618487,-0.012430628539727234,8,8
3-4-10,3,4,10,2,5,10,10,ok,0.022589401135592296,0.021786939938766452,0.23904417519561344,0.24924152770399324,0.022846509473836579,0.022223514053544689,0.21259258450628185,0.21135421070540028,0.00025710833824428223,-0.026451590689331589,4,9
