combo,cycle,status,cvt_ep,cvt_eR,cci_ep,cci_eR
1-3-6,cycle_0001.json,ok,0.029525599009061203,0.2552608408501576,0.030023109432148545,0.27914407455084295
1-3-6,cycle_0002.json,ok,0.036953103510581752,0.23425003598919794,0.036946468291170709,0.25238500775468586
1-3-6,cycle_0003.json,ok,0.010118336541224526,0.36296436154560968,0.011799549807716574,0.32908229924937221
1-3-6,cycle_0004.json,ok,0.0066781401119693651,0.23680187266247055,0.0070032275467637097,0.19741676744342559
1-3-6,cycle_0005.json,ok,0.014727881698871742,0.25327440353653452,0.015131403010238072,0.17427222228969838
1-3-6,cycle_0006.json,ok,0.010070909584588821,0.23655456128854932,0.0094668315112195044,0.20028666791684185
1-3-6,cycle_0007.json,ok,0.025659747994310124,0.22391766856674494,0.023806387493984289,0.19688488118981701
1-3-6,cycle_0008.json,ok,0.015631630123169888,0.24142953100282369,0.015984085292581093,0.20427316958047542
1-3-6,cycle_0009.json,ok,0.029400578823979704,0.21420356594338322,0.027623303127656641,0.22808129226305265
1-3-7,cycle_0000.json,ok,0.013968083169316109,0.27947331407946518,0.019861967075398439,0.26175711891901043
1-3-7,cycle_0001.json,ok,0.016131350917784983,0.2300838376591193,0.024240024055649092,0.22830939327558994
1-3-7,cycle_0002.json,ok,0.028952745626943471,0.13246536251328236,0.039940703782875626,0.22493395801855162
1-3-7,cycle_0003.json,ok,0.022153517915295292,0.40361943111938053,0.025691931083997144,0.436973623665598
1-3-7,cycle_0004.json,ok,0.01968529165763171,0.31338591003404653,0.021026740503789495,0.3371147800702935
1-3-7,cycle_0005.json,ok,0.01624543255965203,0.34452573004143244,0.020288837303885365,0.364525766582879
1-3-7,cycle_0006.json,ok,0.019748150457463354,0.20576974093928893,0.023812305184900674,0.26516075345297196
1-3-7,cycle_0007.json,ok,0.012436195172686232,0.36547294214882148,0.020881512913243971,0.39266124692274063
1-3-7,cycle_0008.json,ok,0.022097299602622154,0.40770780978868221,0.029245380445963774,0.37605062373314563
1-3-7,cycle_0009.json,ok,0.012657323081701905,0.22358734340496381,0.020886121137186547,0.27004514701250293
1-3-8,cycle_0000.json,ok,0.0087381593674990127,0.22418851805911752,0.015152205700533947,0.14604968547907041
1-3-8,cycle_0001.json,ok,0.010575906063428167,0.15055353579884403,0.020380341324238663,0.15805935978356722
1-3-8,cycle_0002.json,ok,0.022024972976806653,0.076596554773748909,0.033735349900337545,0.17510948825712838
1-3-8,cycle_0003.json,ok,0.02756446684228336,0.40503645561412227,0.029676066714530502,0.41226686466947438
1-3-8,cycle_0004.json,ok,0.025163912694056254,0.31447807970133118,0.026384173696977979,0.32123257031677971
1-3-8,cycle_0005.json,ok,0.022149264323506428,0.36306756695591896,0.025753417758935141,0.35322174425345104
1-3-8,cycle_0006.json,ok,0.026836533816268927,0.27015355220743625,0.032514470259861053,0.28308661852878392
1-3-8,cycle_0007.json,ok,0.013243163201973203,0.33257426373229892,0.021802940952795041,0.31887253046055686
1-3-8,cycle_0008.json,ok,0.012937821632618585,0.27259909088807055,0.020214044789321012,0.21012147778620885
1-3-8,cycle_0009.json,ok,0.0085519924295557811,0.19259842197397781,0.016626670601643075,0.16083377158410125
1-3-9,cycle_0000.json,ok,0.018026637385378623,0.12468660707516202,0.022112678971187082,0.087399702684924321
1-3-9,cycle_0001.json,ok,0.021582256684595735,0.16088234280049168,0.035799929815877436,0.25222815585262603
1-3-9,cycle_0002.json,ok,0.027966042001085597,0.024842737787935762,0.044800555755853316,0.31320005285689684
1-3-9,cycle_0003.json,ok,0.026482263982261299,0.41231208247097767,0.027013405282072762,0.39224736949080652
1-3-9,cycle_0004.json,ok,0.023218466998120576,0.28271979894332611,0.022801857725216864,0.25778557343303832
1-3-9,cycle_0005.json,ok,0.018859427283226191,0.29286072793008677,0.020033072638120944,0.27836856056634368
1-3-9,cycle_0006.json,ok,0.025810682555719954,0.2292849497229138,0.028255215346466016,0.19807144634336427
1-3-9,cycle_0007.json,ok,0.01165474485732039,0.23966191948789686,0.013130381894252122,0.16982905233113693
1-3-9,cycle_0008.json,ok,0.016101512781976097,0.29123548880752204,0.018231116387399902,0.18124347962095375
1-3-9,cycle_0009.json,ok,0.015051252946206781,0.094901973798788328,0.021422995447338562,0.14071621113373803
1-3-10,cycle_0000.json,ok,0.019029222712462511,0.16553409247273024,0.025106141088890636,0.18405804492768635
1-3-10,cycle_0001.json,ok,0.025229415367778191,0.10601984773094135,0.035391117502654605,0.3169257852904751
1-3-10,cycle_0002.json,ok,0.035328524196976199,0.13804908904117613,0.047061732157683771,0.4002927661038933
1-3-10,cycle_0003.json,ok,0.016497560499871996,0.32269660528706068,0.015166565238456933,0.27083231734706603
1-3-10,cycle_0004.json,ok,0.015484458391348868,0.26433993077224321,0.014336176384804703,0.18396265539697765
1-3-10,cycle_0005.json,ok,0.019165183338756546,0.32288949814774454,0.017423812528900427,0.21230319023732055
1-3-10,cycle_0006.json,ok,0.019285555890482042,0.11762042584959322,0.021120006212211759,0.1888207339410834
1-3-10,cycle_0007.json,ok,0.018639920839242274,0.16955398460090737,0.018768317029172886,0.094283040826136366
1-3-10,cycle_0008.json,ok,0.012613171630168641,0.13295650855901114,0.017131209076132903,0.17349947100212015
1-3-10,cycle_0009.json,ok,0.028091617091148189,0.11436662532847973,0.034293754488552958,0.2848062801108534
1-3-11,cycle_0000.json,ok,0.020685905408372639,0.12094130284845585,0.028471033770406384,0.21724115210961689
1-3-11,cycle_0001.json,ok,0.033658723785262551,0.17156223560924111,0.041987590824283147,0.38979523136156446
1-3-11,cycle_0002.json,ok,0.036074911006625437,0.15500972208072952,0.048408338065652576,0.42210810456822734
1-3-11,cycle_0003.json,ok,0.011272896179070705,0.24281898098573626,0.0099385796571831147,0.18238018018603727
1-3-11,cycle_0004.json,ok,0.013357977936446381,0.19413394791834512,0.012911412695022797,0.11748626412486726
1-3-11,cycle_0005.json,ok,0.013605922088810092,0.25481322168752196,0.013121468099637932,0.13903323327943459
1-3-11,cycle_0006.json,ok,0.018187098950472377,0.072365936336588874,0.020999013796440015,0.18559339730960939
1-3-11,cycle_0007.json,ok,0.019995099391121519,0.10366265652567931,0.021510803156430575,0.087486555683872869
1-3-11,cycle_0008.json,ok,0.0098647874661072082,0.11566466842650691,0.015889551070994292,0.18130402775081408
1-3-11,cycle_0009.json,ok,0.027904262014624408,0.1131854442969918,0.034215954332591815,0.29990018001070079
1-3-12,cycle_0000.json,ok,0.020911711094106791,0.10862106895848209,0.029653480364662525,0.27111172714416742
1-3-12,cycle_0001.json,ok,0.029831977883092251,0.16611317483763152,0.043904840953122977,0.45438729637816272
1-3-12,cycle_0002.json,ok,0.03693771131137713,0.18286360943855667,0.052804636676849821,0.51962297491854759
1-3-12,cycle_0003.json,ok,0.011266801460641429,0.24006993342024632,0.010448370356175489,0.16617114634958471
1-3-12,cycle_0004.json,ok,0.014559365252904419,0.15917521108330235,0.015319574464327629,0.08518576677253599
1-3-12,cycle_0005.json,ok,0.014569989034919796,0.21452193263282363,0.015048423194844071,0.091433107142995018
1-3-12,cycle_0006.json,ok,0.021507332490664159,0.067609079488468324,0.025040131563503955,0.22871856456886985
1-3-12,cycle_0007.json,ok,0.017793297723364,0.10571817648479649,0.020193536494379737,0.11538856663163415
1-3-12,cycle_0008.json,ok,0.0096592482440313425,0.12283179385350257,0.017558372237645493,0.24052089425459122
1-3-12,cycle_0009.json,ok,0.02385897820053717,0.12511997292161026,0.032305618140386308,0.34572832921799279
1-4-5,cycle_0000.json,ok,0.035747524213245153,0.39996799943995331,0.048138253227700038,0.24251225227480022
1-4-5,cycle_0001.json,ok,0.0239458573424105,0.57871284543557377,0.051183049349044989,0.31357231044372813
1-4-5,cycle_0002.json,ok,0.041648703130199492,0.36071998398946792,0.061478577880857151,0.22340653158329615
1-4-5,cycle_0003.json,ok,0.031014978947664699,0.41024822752640511,0.031791228726502162,0.38861676649202415
1-4-5,cycle_0004.json,ok,0.007042754192131683,0.58388575258445052,0.004882589098218885,0.48908741733207695
1-4-5,cycle_0005.json,ok,0.029589902862142477,0.37666761906103452,0.033059649904757654,0.25749746352459052
1-4-5,cycle_0006.json,ok,0.025004952136336557,0.40993733568924201,0.026357966424892354,0.3228865202998652
