sensor_1_x,sensor_1_y,sensor_1_z,sensor_1_magnitude,sensor_2_x,sensor_2_y,sensor_2_z,sensor_2_magnitude,sensor_3_x,sensor_3_y,sensor_3_z,sensor_3_magnitude,sensor_4_x,sensor_4_y,sensor_4_z,sensor_4_magnitude,sensor_5_x,sensor_5_y,sensor_5_z,sensor_5_magnitude,sensor_6_x,sensor_6_y,sensor_6_z,sensor_6_magnitude,sensor_7_x,sensor_7_y,sensor_7_z,sensor_7_magnitude,sensor_8_x,sensor_8_y,sensor_8_z,sensor_8_magnitude,sensor_9_x,sensor_9_y,sensor_9_z,sensor_9_magnitude,sensor_10_x,sensor_10_y,sensor_10_z,sensor_10_magnitude,sensor_11_x,sensor_11_y,sensor_11_z,sensor_11_magnitude,sensor_12_x,sensor_12_y,sensor_12_z,sensor_12_magnitude
0.088402,0.254979,-0.100313,0.287910,0.082196,0.248917,-0.094398,0.278616,0.084020,0.248352,-0.097479,0.279714,0.089478,-0.244119,0.096207,0.277230,0.093715,-0.254917,0.093526,0.287250,0.087853,-0.247263,0.086555,0.276313,-0.086716,-0.246688,-0.076565,0.272465,-0.088842,-0.248388,-0.076663,0.274712,-0.085500,-0.252273,-0.083237,0.279071,-0.077937,0.242823,0.074773,0.265760,-0.088708,0.241937,0.076444,0.268787,-0.093018,0.247555,0.079930,0.276269
0.094956,0.257581,-0.086245,0.287754,0.088746,0.250433,-0.080549,0.277634,0.089910,0.250907,-0.083028,0.279163,0.095645,-0.247121,0.082070,0.277402,0.100055,-0.257802,0.078851,0.287559,0.093741,-0.250361,0.070233,0.276406,-0.091651,-0.249877,-0.060919,0.273038,-0.095179,-0.251753,-0.060490,0.275858,-0.089812,-0.255973,-0.066391,0.279278,-0.083164,0.246999,0.058225,0.267049,-0.093793,0.245640,0.058275,0.269318,-0.097090,0.251440,0.062315,0.276644
0.096686,0.266326,-0.057513,0.289111,0.090241,0.258186,-0.053253,0.278639,0.090375,0.259205,-0.054854,0.279936,0.095139,-0.255615,0.054487,0.278135,0.099374,-0.265344,0.048931,0.287535,0.093173,-0.257498,0.043593,0.277284,-0.091754,-0.257570,-0.033013,0.275410,-0.093933,-0.259326,-0.033100,0.277793,-0.089298,-0.264739,-0.039467,0.282167,-0.082965,0.253570,0.032504,0.268771,-0.093437,0.252510,0.032716,0.271223,-0.097090,0.258409,0.036008,0.278385
0.092334,0.268138,-0.052326,0.288377,0.086580,0.260171,-0.049604,0.278649,0.086707,0.261565,-0.052597,0.280536,0.091399,-0.257092,0.052122,0.277789,0.096020,-0.267516,0.045827,0.287898,0.088835,-0.259421,0.040796,0.277228,-0.087539,-0.258895,-0.030874,0.275032,-0.090088,-0.261687,-0.030726,0.278460,-0.086424,-0.266906,-0.037298,0.283018,-0.079132,0.256013,0.030178,0.269658,-0.090539,0.254421,0.030240,0.271739,-0.093482,0.260728,0.033902,0.279047
0.094746,0.266253,-0.055347,0.287977,0.088488,0.259204,-0.051887,0.278764,0.089549,0.260128,-0.054017,0.280363,0.094179,-0.255857,0.053644,0.277868,0.098221,-0.265495,0.049508,0.287378,0.091520,-0.258534,0.042850,0.277582,-0.089955,-0.259053,-0.032032,0.276091,-0.092582,-0.260559,-0.032572,0.278431,-0.087502,-0.265638,-0.038995,0.282384,-0.081123,0.254867,0.032343,0.269414,-0.092014,0.253213,0.031857,0.271290,-0.095338,0.259620,0.035232,0.278807
0.095166,0.269046,-0.045751,0.289025,0.089468,0.260748,-0.041558,0.278785,0.089497,0.262740,-0.043988,0.281029,0.093623,-0.257470,0.044609,0.277572,0.098169,-0.267732,0.039306,0.287859,0.091623,-0.260842,0.033090,0.278440,-0.090469,-0.258952,-0.021809,0.275166,-0.091907,-0.261949,-0.022497,0.278514,-0.087450,-0.268049,-0.028256,0.283366,-0.081770,0.256608,0.023790,0.270370,-0.091810,0.254880,0.021233,0.271742,-0.095698,0.261315,0.025141,0.279420
0.097263,0.269740,-0.031192,0.288431,0.091530,0.261218,-0.028367,0.278240,0.091512,0.263148,-0.031700,0.280404,0.096453,-0.258159,0.032718,0.277524,0.101522,-0.267485,0.025228,0.287213,0.092501,-0.261607,0.021087,0.278280,-0.092268,-0.260032,-0.008781,0.276057,-0.094140,-0.262676,-0.007928,0.279149,-0.090582,-0.268962,-0.014353,0.284169,-0.084260,0.256656,0.009922,0.270315,-0.095777,0.254133,0.007892,0.271697,-0.098585,0.261550,0.011327,0.279742
0.110057,0.266058,-0.008157,0.288038,0.104165,0.258914,-0.005623,0.279139,0.103758,0.259551,-0.009221,0.279674,0.106663,-0.255234,0.010451,0.276823,0.111059,-0.264815,0.001262,0.287163,0.103501,-0.257594,-0.001493,0.277614,-0.102962,-0.256618,0.013201,0.276818,-0.104322,-0.259249,0.014151,0.279810,-0.099976,-0.265958,0.009764,0.284296,-0.094515,0.253609,-0.011713,0.270902,-0.105845,0.251536,-0.013178,0.273216,-0.108222,0.258782,-0.010640,0.280702
0.109428,0.266464,0.004710,0.288097,0.104371,0.258453,0.005740,0.278791,0.103086,0.258988,0.003010,0.278767,0.105703,-0.255021,-0.002156,0.276068,0.110849,-0.263773,-0.010893,0.286326,0.102727,-0.257034,-0.013647,0.277138,-0.103168,-0.255644,0.025485,0.276851,-0.103699,-0.259814,0.026915,0.281036,-0.099822,-0.265956,0.022077,0.284929,-0.094017,0.253958,-0.023909,0.271855,-0.105235,0.251989,-0.024979,0.274220,-0.107552,0.259236,-0.022835,0.281589
0.109480,0.265019,0.020016,0.287439,0.103907,0.257579,0.020314,0.278489,0.103551,0.258834,0.016502,0.279268,0.105046,-0.255318,-0.015849,0.276538,0.109801,-0.262781,-0.027332,0.286107,0.101539,-0.255860,-0.027676,0.276660,-0.101677,-0.255333,0.040156,0.277751,-0.102504,-0.259760,0.042368,0.282449,-0.098282,-0.265115,0.037413,0.285210,-0.093270,0.252465,-0.038127,0.271830,-0.104167,0.251278,-0.039159,0.274818,-0.106315,0.258198,-0.037788,0.281775
