sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z,b_ref_x,b_ref_y,b_ref_z,Delta_o,channel,voltage,source_file
-6.405957,-0.940918,13.791699,-6.063184,-0.980762,13.641406,-6.280762,-0.79248,13.386426,-6.610059,0.52832,-13.235547,-6.805664,0.901172,-13.524707,-6.871484,0.971973,-13.099316,6.509863,0.97168,13.113867,6.876465,0.831055,13.098437,6.822656,0.826758,13.268164,6.400781,-1.176562,-13.235449,6.461426,-1.013086,-13.197363,6.644727,-0.783105,-13.175,-6.562752333333334,13.313948416666667,0.8931559166666667,0.031607309057052405,manual_x,3,manual_x_3V_cleaned.csv
-6.814844,-0.946484,13.611523,-6.466211,-0.987988,13.472363,-6.682031,-0.801367,13.212891,-6.99834,0.532227,-13.053516,-7.204004,0.898535,-13.329883,-7.257227,0.975781,-12.906738,6.894824,0.97168,12.927148,7.264648,0.840527,12.902246,7.21123,0.848145,13.076562,6.792871,-1.188184,-13.05,6.850488,-1.011816,-13.016992,7.033203,-0.786426,-12.984082,-6.955826750000001,13.128662000000002,0.8990966666666665,0.03162379981748098,manual_x,3,manual_x_3V_cleaned.csv
-7.216895,-0.950781,13.420801,-6.86416,-0.994629,13.288477,-7.076758,-0.810254,13.028223,-7.380762,0.532422,-12.855566,-7.594336,0.894434,-13.12959,-7.638672,0.977734,-12.702441,7.274707,0.974316,12.732715,7.64248,0.847852,12.693555,7.596582,0.866406,12.871484,7.179492,-1.202441,-12.853125,7.235352,-1.011328,-12.824219,7.41543,-0.788672,-12.789551,-7.342968833333333,12.932478916666668,0.9042724166666668,0.03190222411048047,manual_x,3,manual_x_3V_cleaned.csv
-7.611719,-0.956543,13.217773,-7.253516,-0.99873,13.099902,-7.463672,-0.818262,12.83125,-7.753516,0.534473,-12.651563,-7.977344,0.891211,-12.913281,-8.010059,0.977832,-12.486914,7.645996,0.974316,12.526074,8.01582,0.85459,12.478125,7.970215,0.887695,12.657324,7.556738,-1.213965,-12.644043,7.610059,-1.007324,-12.617969,7.787207,-0.791211,-12.578711,-7.7213217499999995,12.725244083333335,0.908846,0.03278171478678455,manual_x,3,manual_x_3V_cleaned.csv
-8.00127,-0.962793,13.006152,-7.63623,-1.004297,12.892871,-7.841992,-0.825879,12.624121,-8.120605,0.537305,-12.434473,-8.353613,0.88877,-12.690527,-8.373047,0.980176,-12.256348,8.011914,0.974414,12.307031,8.381445,0.862695,12.250879,8.338086,0.906445,12.428516,7.92627,-1.226172,-12.42627,7.97666,-1.004199,-12.403516,8.154883,-0.793359,-12.359375,-8.09300125,12.50667325,0.9138753333333334,0.033693366830240344,manual_x,3,manual_x_3V_cleaned.csv
-8.38252,-0.969727,12.781055,-8.010547,-1.010254,12.673633,-8.212695,-0.833008,12.402051,-8.478125,0.5375,-12.202344,-8.720703,0.884473,-12.450195,-8.727148,0.98125,-12.018555,8.365527,0.975195,12.079102,8.733496,0.86875,12.007227,8.695215,0.924512,12.187891,8.287988,-1.234961,-12.194238,8.337402,-1.003027,-12.172363,8.509961,-0.794141,-12.126172,-8.455110583333335,12.274568833333333,0.9180665,0.034607663548803666,manual_x,3,manual_x_3V_cleaned.csv
-8.754004,-0.974023,12.54502,-8.37666,-1.013379,12.447168,-8.57666,-0.839258,12.169336,-8.828418,0.537695,-11.962012,-9.080566,0.881348,-12.200586,-9.076465,0.982324,-11.766406,8.714746,0.97334,11.841309,9.084082,0.876465,11.758887,9.042969,0.943359,11.938965,8.643457,-1.245996,-11.954199,8.68916,-1.000293,-11.937891,8.859863,-0.798535,-11.880957,-8.8105875,12.033561333333333,0.9221679166666668,0.03483275298480387,manual_x,3,manual_x_3V_cleaned.csv
-9.117969,-0.977637,12.296973,-8.738281,-1.016895,12.207324,-8.93252,-0.84541,11.931348,-9.171191,0.540527,-11.71543,-9.432617,0.875684,-11.944727,-9.414551,0.983301,-11.506445,9.055664,0.97207,11.59375,9.420312,0.881738,11.494238,9.386523,0.964063,11.677734,8.989746,-1.25625,-11.702832,9.033496,-0.996875,-11.691309,9.20127,-0.799805,-11.625293,-9.157845,11.782283583333335,0.9258545833333334,0.035490345378318314,manual_x,3,manual_x_3V_cleaned.csv
-9.470313,-0.983203,12.036426,-9.087891,-1.02207,11.956738,-9.273535,-0.851562,11.671777,-9.504883,0.540039,-11.451953,-9.770605,0.869922,-11.671777,-9.742285,0.983203,-11.236816,9.388086,0.971094,11.330273,9.749316,0.885742,11.222852,9.716602,0.981934,11.407324,9.324219,-1.266504,-11.438477,9.366797,-0.992188,-11.431348,9.532324,-0.80166,-11.361621,-9.493904666666667,11.518115166666666,0.9290934166666667,0.036655846214066964,manual_x,3,manual_x_3V_cleaned.csv
-9.817969,-0.987988,11.765527,-9.430273,-1.026465,11.698633,-9.611133,-0.85791,11.409277,-9.829883,0.541309,-11.183203,-10.104199,0.866602,-11.391992,-10.063184,0.981641,-10.958496,9.710352,0.968848,11.064355,10.068457,0.892676,10.941699,10.041406,1.000879,11.126465,9.653613,-1.275879,-11.165332,9.695801,-0.987598,-11.1625,9.857324,-0.804395,-11.088379,-9.823632833333333,11.246321499999999,0.9326825000000001,0.03765129118470929,manual_x,3,manual_x_3V_cleaned.csv
